"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"387","C2",1.7127,28,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"388","D2",1.6997,28,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"389","E2",1.7341,28,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"390","F2",1.6063,28,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"392","H2",0.1106,28,1,"1-H2","Blank","","YPD",2
"393","A2",1.6453,30,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"394","B2",1.6958,30,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"395","C2",1.7399,30,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"396","D2",1.7748,30,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"397","E2",1.7701,30,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"398","F2",1.7467,30,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"400","H2",0.1103,30,1,"1-H2","Blank","","YPD",2
"401","A2",1.6736,32,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"402","B2",1.6929,32,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"403","C2",1.7481,32,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"404","D2",1.7624,32,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"405","E2",1.8151,32,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"406","F2",1.7372,32,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"408","H2",0.1103,32,1,"1-H2","Blank","","YPD",2
"409","A2",1.6953,34,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"410","B2",1.7268,34,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"411","C2",1.7355,34,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"412","D2",1.7769,34,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"413","E2",1.9266,34,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"414","F2",1.7514,34,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"416","H2",0.1104,34,1,"1-H2","Blank","","YPD",2
"417","A2",1.6878,36,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"418","B2",1.7589,36,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"419","C2",1.722,36,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"420","D2",1.776,36,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"421","E2",1.8847,36,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"422","F2",1.7556,36,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"424","H2",0.11,36,1,"1-H2","Blank","","YPD",2
"425","A2",1.6697,38,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"426","B2",1.7791,38,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"427","C2",1.7273,38,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"428","D2",1.7864,38,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"429","E2",1.9039,38,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"430","F2",1.7621,38,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"432","H2",0.1099,38,1,"1-H2","Blank","","YPD",2
"433","A2",1.6852,40,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"434","B2",1.7655,40,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"435","C2",1.7455,40,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"436","D2",1.8115,40,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"437","E2",1.8908,40,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"438","F2",1.7595,40,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"440","H2",0.1099,40,1,"1-H2","Blank","","YPD",2
"441","A2",1.7157,42,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"442","B2",1.7747,42,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"443","C2",1.7807,42,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"444","D2",1.8255,42,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"445","E2",1.7548,42,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"446","F2",1.7475,42,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"448","H2",0.1098,42,1,"1-H2","Blank","","YPD",2
"449","A2",1.8902,44,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"450","B2",1.8722,44,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"451","C2",1.7665,44,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"452","D2",1.7308,44,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"453","E2",1.7748,44,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"454","F2",1.8343,44,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"456","H2",0.1063,44,1,"1-H2","Blank","","YPD",2
"457","A2",1.825,46,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"458","B2",1.8445,46,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"459","C2",1.8306,46,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"460","D2",1.827,46,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"461","E2",1.8071,46,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"462","F2",1.7058,46,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"464","H2",0.106,46,1,"1-H2","Blank","","YPD",2
"465","A2",1.8331,48,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"466","B2",1.9116,48,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"467","C2",1.8422,48,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"468","D2",1.8664,48,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"469","E2",1.6674,48,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"470","F2",1.8698,48,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"472","H2",0.106,48,1,"1-H2","Blank","","YPD",2
"473","A2",1.8299,50,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"474","B2",1.8589,50,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"475","C2",1.7318,50,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"476","D2",1.7521,50,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"477","E2",1.7564,50,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"478","F2",1.763,50,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"480","H2",0.1063,50,1,"1-H2","Blank","","YPD",2
"481","A2",1.8856,52,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"482","B2",1.9123,52,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"483","C2",1.9441,52,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"484","D2",1.9072,52,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"485","E2",1.7869,52,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"486","F2",1.8367,52,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"488","H2",0.1062,52,1,"1-H2","Blank","","YPD",2
"489","A2",1.9158,54,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"490","B2",1.9412,54,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"491","C2",1.978,54,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"492","D2",1.939,54,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"493","E2",1.7358,54,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"494","F2",1.6593,54,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"496","H2",0.1079,54,1,"1-H2","Blank","","YPD",2
"497","A2",1.9132,56,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"498","B2",1.9622,56,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"499","C2",1.9747,56,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"500","D2",1.9664,56,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"501","E2",1.8126,56,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"502","F2",1.8869,56,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"504","H2",0.1081,56,1,"1-H2","Blank","","YPD",2
"505","A2",1.9308,58,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"506","B2",1.9693,58,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"507","C2",1.9986,58,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"508","D2",1.9753,58,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"509","E2",1.6877,58,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"510","F2",1.8729,58,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"512","H2",0.1089,58,1,"1-H2","Blank","","YPD",2
"513","A2",1.9786,60,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"514","B2",1.9656,60,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"515","C2",1.9745,60,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"516","D2",1.9984,60,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"517","E2",1.6865,60,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"518","F2",1.8555,60,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"520","H2",0.1098,60,1,"1-H2","Blank","","YPD",2
"521","A2",1.9852,62,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"522","B2",2.0158,62,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"523","C2",2.0328,62,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"524","D2",1.9997,62,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"525","E2",1.6618,62,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"526","F2",1.7852,62,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"528","H2",0.1107,62,1,"1-H2","Blank","","YPD",2
"529","A2",2.0333,64,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"530","B2",2.019,64,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"531","C2",2.0645,64,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"532","D2",2.0244,64,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"533","E2",0.9758,64,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"534","F2",1.817,64,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"536","H2",0.1114,64,1,"1-H2","Blank","","YPD",2
"537","A2",2.0575,66,1,"1-A2","YHL033C-Y7039","Liquid","YPD",2
"538","B2",2.0318,66,1,"1-B2","YIL066C-Y7039","Liquid","YPD",2
"539","C2",2.0669,66,1,"1-C2","YML058W-A-Y7039","Liquid","YPD",2
"540","D2",2.038,66,1,"1-D2","YHL033C-Y7039","Dried","YPD",2
"541","E2",0.6399,66,1,"1-E2","YIL066C-Y7039","Dried","YPD",2
"542","F2",1.7866,66,1,"1-F2","YML058W-A-Y7039","Dried","YPD",2
"544","H2",0.1117,66,1,"1-H2","Blank","","YPD",2
"545","A3",0.1464,0,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"546","B3",0.1372,0,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"547","C3",0.143,0,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"548","D3",0.1783,0,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"549","E3",0.1354,0,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"550","F3",0.1783,0,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"552","H3",0.114,0,1,"1-H3","Blank","","YPD",3
"553","A3",0.1749,2,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"554","B3",0.1591,2,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"555","C3",0.1578,2,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"556","D3",0.1922,2,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"557","E3",0.1502,2,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"558","F3",0.1894,2,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"560","H3",0.1137,2,1,"1-H3","Blank","","YPD",3
"561","A3",0.1785,4,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"562","B3",0.1782,4,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"563","C3",0.1739,4,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"564","D3",0.1939,4,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"565","E3",0.1547,4,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"566","F3",0.1925,4,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"568","H3",0.1153,4,1,"1-H3","Blank","","YPD",3
"569","A3",0.185,6,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"570","B3",0.1899,6,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"571","C3",0.176,6,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"572","D3",0.1873,6,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"573","E3",0.1543,6,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"574","F3",0.1874,6,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"576","H3",0.1143,6,1,"1-H3","Blank","","YPD",3
"577","A3",0.2115,8,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"578","B3",0.1967,8,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"579","C3",0.1859,8,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"580","D3",0.1822,8,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"581","E3",0.1517,8,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"582","F3",0.1834,8,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"584","H3",0.1147,8,1,"1-H3","Blank","","YPD",3
"585","A3",0.2776,10,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"586","B3",0.2018,10,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"587","C3",0.1993,10,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"588","D3",0.1789,10,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"589","E3",0.147,10,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"590","F3",0.1798,10,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"592","H3",0.1134,10,1,"1-H3","Blank","","YPD",3
"593","A3",0.3463,12,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"594","B3",0.2129,12,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"595","C3",0.228,12,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"596","D3",0.1823,12,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"597","E3",0.1457,12,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"598","F3",0.1761,12,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"600","H3",0.114,12,1,"1-H3","Blank","","YPD",3
"601","A3",0.4074,14,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"602","B3",0.2494,14,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"603","C3",0.4995,14,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"604","D3",0.1803,14,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"605","E3",0.1528,14,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"606","F3",0.1774,14,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"608","H3",0.1141,14,1,"1-H3","Blank","","YPD",3
"609","A3",1.1262,16,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"610","B3",0.3237,16,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"611","C3",0.9626,16,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"612","D3",0.1874,16,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"613","E3",0.1754,16,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"614","F3",0.1809,16,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"616","H3",0.1145,16,1,"1-H3","Blank","","YPD",3
"617","A3",1.6075,18,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"618","B3",0.354,18,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"619","C3",1.1279,18,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"620","D3",0.1998,18,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"621","E3",0.2197,18,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"622","F3",0.1986,18,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"624","H3",0.1115,18,1,"1-H3","Blank","","YPD",3
"625","A3",1.6968,20,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"626","B3",0.5763,20,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"627","C3",1.6201,20,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"628","D3",0.2649,20,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"629","E3",0.2117,20,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"630","F3",0.2281,20,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"632","H3",0.1134,20,1,"1-H3","Blank","","YPD",3
"633","A3",1.6909,22,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"634","B3",1.2087,22,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"635","C3",1.68,22,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"636","D3",0.5496,22,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"637","E3",0.4796,22,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"638","F3",0.3136,22,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"640","H3",0.1134,22,1,"1-H3","Blank","","YPD",3
"641","A3",1.6663,24,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"642","B3",1.6375,24,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"643","C3",1.6954,24,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"644","D3",1.0502,24,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"645","E3",0.7991,24,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"646","F3",0.8651,24,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"648","H3",0.1124,24,1,"1-H3","Blank","","YPD",3
"649","A3",1.6532,26,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"650","B3",1.7087,26,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"651","C3",1.6839,26,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"652","D3",1.3221,26,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"653","E3",1.304,26,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"654","F3",1.4907,26,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"656","H3",0.1122,26,1,"1-H3","Blank","","YPD",3
"657","A3",1.6493,28,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"658","B3",1.7317,28,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"659","C3",1.6925,28,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"660","D3",1.6962,28,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"661","E3",1.6937,28,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"662","F3",1.5609,28,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"664","H3",0.1108,28,1,"1-H3","Blank","","YPD",3
"665","A3",1.6437,30,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"666","B3",1.7331,30,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"667","C3",1.7076,30,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"668","D3",1.7813,30,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"669","E3",1.7158,30,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"670","F3",1.736,30,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"672","H3",0.1128,30,1,"1-H3","Blank","","YPD",3
"673","A3",1.663,32,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"674","B3",1.7466,32,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"675","C3",1.7095,32,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"676","D3",1.767,32,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"677","E3",1.6802,32,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"678","F3",1.7439,32,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"680","H3",0.1107,32,1,"1-H3","Blank","","YPD",3
"681","A3",1.6664,34,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"682","B3",1.769,34,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"683","C3",1.7243,34,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"684","D3",1.7409,34,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"685","E3",1.6685,34,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"686","F3",1.776,34,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"688","H3",0.1114,34,1,"1-H3","Blank","","YPD",3
"689","A3",1.7075,36,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"690","B3",1.7638,36,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"691","C3",1.7373,36,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"692","D3",1.7532,36,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"693","E3",1.776,36,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"694","F3",1.7419,36,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"696","H3",0.1123,36,1,"1-H3","Blank","","YPD",3
"697","A3",1.7467,38,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"698","B3",1.7626,38,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"699","C3",1.7427,38,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"700","D3",1.8012,38,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"701","E3",1.7836,38,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"702","F3",1.7391,38,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"704","H3",0.1131,38,1,"1-H3","Blank","","YPD",3
"705","A3",1.7732,40,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"706","B3",1.707,40,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"707","C3",1.7648,40,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"708","D3",1.8066,40,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"709","E3",1.7951,40,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"710","F3",1.7882,40,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"712","H3",0.1134,40,1,"1-H3","Blank","","YPD",3
"713","A3",1.7861,42,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"714","B3",1.6476,42,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"715","C3",1.7898,42,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"716","D3",1.8453,42,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"717","E3",1.801,42,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"718","F3",1.8452,42,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"720","H3",0.1118,42,1,"1-H3","Blank","","YPD",3
"721","A3",1.8838,44,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"722","B3",1.8518,44,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"723","C3",1.8726,44,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"724","D3",1.7387,44,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"725","E3",1.7115,44,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"726","F3",1.7127,44,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"728","H3",0.1066,44,1,"1-H3","Blank","","YPD",3
"729","A3",1.8484,46,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"730","B3",1.8239,46,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"731","C3",1.8693,46,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"732","D3",1.7358,46,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"733","E3",1.8492,46,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"734","F3",1.727,46,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"736","H3",0.1069,46,1,"1-H3","Blank","","YPD",3
"737","A3",1.9121,48,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"738","B3",1.857,48,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"739","C3",1.8943,48,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"740","D3",1.7901,48,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"741","E3",1.9038,48,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"742","F3",1.7831,48,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"744","H3",0.11,48,1,"1-H3","Blank","","YPD",3
"745","A3",1.8632,50,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"746","B3",1.8679,50,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"747","C3",1.8109,50,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"748","D3",1.7108,50,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"749","E3",1.8696,50,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"750","F3",1.7029,50,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"752","H3",0.107,50,1,"1-H3","Blank","","YPD",3
"753","A3",1.8901,52,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"754","B3",1.9014,52,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"755","C3",1.8661,52,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"756","D3",1.7396,52,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"757","E3",1.9141,52,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"758","F3",1.712,52,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"760","H3",0.1049,52,1,"1-H3","Blank","","YPD",3
"761","A3",1.9427,54,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"762","B3",1.8758,54,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"763","C3",1.939,54,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"764","D3",1.7362,54,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"765","E3",1.9185,54,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
"766","F3",1.8617,54,1,"1-F3","YML058W-A-Y7039","Dried","YPD",3
"768","H3",0.106,54,1,"1-H3","Blank","","YPD",3
"769","A3",1.9564,56,1,"1-A3","YHL033C-Y7039","Liquid","YPD",3
"770","B3",1.8996,56,1,"1-B3","YIL066C-Y7039","Liquid","YPD",3
"771","C3",1.9256,56,1,"1-C3","YML058W-A-Y7039","Liquid","YPD",3
"772","D3",1.8312,56,1,"1-D3","YHL033C-Y7039","Dried","YPD",3
"773","E3",1.8706,56,1,"1-E3","YIL066C-Y7039","Dried","YPD",3
